# train_acc test_acc train_loss test_loss
5.549584758182706246e-01 4.817400644468313731e-01 1.077709079167291861e+00 7.675204326975870739e-01
6.761113825109916764e-01 4.871106337271750575e-01 6.127811419596949083e-01 8.326540144378465902e-01
7.220322423058134209e-01 6.396348012889365720e-01 5.562752751123049011e-01 6.541306451363159136e-01
7.405959941377625588e-01 7.110633727175080798e-01 5.392224414790032228e-01 5.623486612460283363e-01
7.440156326331216485e-01 7.013963480128894146e-01 5.281987662832504649e-01 6.072262089567460608e-01
7.581827063996091631e-01 7.207303974221267451e-01 5.213223353617938427e-01 5.554411475947796939e-01
7.576941866145578963e-01 7.422126745435015938e-01 5.016991032090021285e-01 5.372807036537105008e-01
7.689301416707376990e-01 7.588614393125671098e-01 4.911279635250014874e-01 5.115698430002951769e-01
7.757694186614557674e-01 7.561761546723952954e-01 4.830815817416442282e-01 5.045674818094767478e-01
7.777234978016609457e-01 7.669172932330826642e-01 4.738961683871050767e-01 4.935075301680990068e-01
7.972642892037127282e-01 7.567132116004295916e-01 4.578748080692002231e-01 5.011441654472679197e-01
7.953102100635075500e-01 7.438238453276047046e-01 4.637477951161618206e-01 5.142261243148213978e-01
8.045920859794821745e-01 7.046186895810956363e-01 4.325243906387772896e-01 5.731842962166676658e-01
8.026380068392769962e-01 7.636949516648764424e-01 4.384136310454164742e-01 5.048157689906856982e-01
7.992183683439179065e-01 6.970998925886143782e-01 4.348479162557682964e-01 5.362729354012281124e-01
8.080117244748412642e-01 7.588614393125671098e-01 4.290622894101219775e-01 5.421285164471472129e-01
8.172936003908157776e-01 6.348012889366272393e-01 4.097516537295007311e-01 7.870162820201427323e-01
8.182706399609184222e-01 7.669172932330826642e-01 4.235340546094095715e-01 5.269351838962860191e-01
8.143624816805080657e-01 6.965628356605799709e-01 4.203228624815118497e-01 5.946806620098210594e-01
8.275525158768930467e-01 8.034371643394200291e-01 3.993180787411910182e-01 4.280904702418088514e-01
8.353688324377137597e-01 7.636949516648764424e-01 3.846638741205538614e-01 5.648175563771281604e-01
8.392769907181241162e-01 8.093447905477980653e-01 3.796605595478967365e-01 4.274756802139937917e-01
8.363458720078162933e-01 8.012889366272825109e-01 3.786541010527478268e-01 4.326197752763070170e-01
8.387884709330727384e-01 8.029001074113856218e-01 3.637470552760563303e-01 4.150030762437335041e-01
8.524670249145089862e-01 7.948442534908700674e-01 3.663826883858334327e-01 4.586279195214188475e-01
8.466047874938934514e-01 7.969924812030074746e-01 3.569590267054209010e-01 4.266669090785222274e-01
8.524670249145089862e-01 7.771213748657357367e-01 3.464499368834157988e-01 4.761880088825615198e-01
8.573522227650219873e-01 8.061224489795918435e-01 3.465542335247026595e-01 4.481615909124163633e-01
8.534440644846116308e-01 7.824919441460794767e-01 3.390569338055430260e-01 5.470622190855499722e-01
8.646800195407914336e-01 8.077336197636949544e-01 3.259202606601137586e-01 4.208704322160378708e-01
8.539325842696628976e-01 8.077336197636949544e-01 3.406283255752028394e-01 5.025241909874753610e-01
8.661455788959452340e-01 8.136412459720729906e-01 3.249577802306102270e-01 4.060964704872330189e-01
8.700537371763555905e-01 8.216970998925886560e-01 3.159034143410837658e-01 4.105358764641267033e-01
8.568637029799707205e-01 8.039742212674543254e-01 3.299884909557376234e-01 4.401572837737398047e-01
8.612603810454323439e-01 7.314715359828142249e-01 3.251686675640566571e-01 5.843812287429990260e-01
8.568637029799707205e-01 8.147153598281418052e-01 3.287483967247391559e-01 4.578773172374186462e-01
8.661455788959452340e-01 8.029001074113856218e-01 3.145022940420207358e-01 4.908959810430970072e-01
8.656570591108939672e-01 7.636949516648764424e-01 3.180260850880049506e-01 5.452671819931710351e-01
8.739618954567659470e-01 8.012889366272825109e-01 2.964679312869054617e-01 5.064464521971475675e-01
8.803126526624328596e-01 8.147153598281418052e-01 2.930812474192790451e-01 4.242109442819970155e-01
8.778700537371763035e-01 8.195488721804511378e-01 2.899633388607805728e-01 4.177077642124782386e-01
8.739618954567659470e-01 8.007518796992481036e-01 2.926635087613775332e-01 4.465485521053013107e-01
8.715192965315095019e-01 8.104189044038667689e-01 2.942829708908614172e-01 4.162443363929025364e-01
8.729848558866634134e-01 8.179377013963480270e-01 2.873728798477604429e-01 4.327973652987167630e-01
8.900830483634587509e-01 7.980665950590762892e-01 2.713928757118025947e-01 4.808172154631445427e-01
8.822667318026380379e-01 8.114930182599355835e-01 2.781204197994370797e-01 4.894175576216168166e-01
8.930141670737664628e-01 8.281417830290010995e-01 2.700429437331706151e-01 4.418589470850025624e-01
8.974108451392280861e-01 7.953813104189043637e-01 2.488137777179523225e-01 4.398350611281062195e-01
8.900830483634587509e-01 8.088077336197636580e-01 2.537808499731665779e-01 4.674489325598666367e-01
9.066927210552027105e-01 7.298603651987111141e-01 2.303378111962638419e-01 7.696228715282025235e-01
